run_id	file_id	model_name	result	start_time	end_time	file
2020-11-18T00:22:43.134Z	0	exception_louis_direct	Cheetah	2020-11-18T00:22:43.203Z	2020-11-18T00:22:44.017Z	Louis_Data/Test/Cheetah/M Alvin/Alvin-2.jpg
2020-11-18T00:22:43.134Z	0	Inception_louis_direct	Cheetah	2020-11-18T00:22:44.024Z	2020-11-18T00:22:45.223Z	Louis_Data/Test/Cheetah/M Alvin/Alvin-2.jpg
2020-11-18T00:22:43.134Z	0	nasnet_louis_direct	Cheetah	2020-11-18T00:22:45.229Z	2020-11-18T00:22:52.568Z	Louis_Data/Test/Cheetah/M Alvin/Alvin-2.jpg
2020-11-18T00:22:43.134Z	1	exception_louis_direct	Cheetah	2020-11-18T00:22:52.622Z	2020-11-18T00:22:53.250Z	Louis_Data/Test/Cheetah/M Alvin/Alvin-1.jpg
2020-11-18T00:22:43.134Z	1	Inception_louis_direct	Cheetah	2020-11-18T00:22:53.259Z	2020-11-18T00:22:54.017Z	Louis_Data/Test/Cheetah/M Alvin/Alvin-1.jpg
2020-11-18T00:22:43.134Z	1	nasnet_louis_direct	Jaguar	2020-11-18T00:22:54.023Z	2020-11-18T00:22:58.201Z	Louis_Data/Test/Cheetah/M Alvin/Alvin-1.jpg
2020-11-18T00:22:43.134Z	2	exception_louis_direct	Cheetah	2020-11-18T00:22:58.231Z	2020-11-18T00:22:58.782Z	Louis_Data/Test/Cheetah/M Alvin/Alvin.jpg
2020-11-18T00:22:43.134Z	2	Inception_louis_direct	Cheetah	2020-11-18T00:22:58.788Z	2020-11-18T00:22:59.477Z	Louis_Data/Test/Cheetah/M Alvin/Alvin.jpg
2020-11-18T00:22:43.134Z	2	nasnet_louis_direct	Jaguar	2020-11-18T00:22:59.483Z	2020-11-18T00:23:03.508Z	Louis_Data/Test/Cheetah/M Alvin/Alvin.jpg
2020-11-18T00:22:43.134Z	3	exception_louis_direct	Cheetah	2020-11-18T00:23:03.520Z	2020-11-18T00:23:04.061Z	Louis_Data/Test/Cheetah/F Kinky tail/DSCF1262.JPG
2020-11-18T00:22:43.134Z	3	Inception_louis_direct	Cheetah	2020-11-18T00:23:04.066Z	2020-11-18T00:23:04.714Z	Louis_Data/Test/Cheetah/F Kinky tail/DSCF1262.JPG
2020-11-18T00:22:43.134Z	3	nasnet_louis_direct	Puma	2020-11-18T00:23:04.720Z	2020-11-18T00:23:08.765Z	Louis_Data/Test/Cheetah/F Kinky tail/DSCF1262.JPG
2020-11-18T00:22:43.134Z	4	exception_louis_direct	Cheetah	2020-11-18T00:23:08.787Z	2020-11-18T00:23:09.319Z	Louis_Data/Test/Cheetah/M Pano/Pano.JPG
2020-11-18T00:22:43.134Z	4	Inception_louis_direct	Cheetah	2020-11-18T00:23:09.324Z	2020-11-18T00:23:09.969Z	Louis_Data/Test/Cheetah/M Pano/Pano.JPG
